site,amf_ba,emf_ba
1000,0,3.367415974
500,1.44204994,0.712515717
600,3.064949185,0.297469378
700,3.932238045,0.546335832
800,0.268678514,3.943450356
900,0,5.475812851
1000,0.458756273,3.888396123
500,2.382089807,0.926661637
600,1.393938071,3.047408647
700,0.041667313,3.062503927
800,0,3.966385689
900,0,3.246895458
1000,0.071511095,2.040424842
600,0.057533726,2.759721653
700,0.055027163,3.946709173
800,0.038924281,3.859863149
900,0,2.013244545
1000,0.040324233,3.632573266
500,0.657,1.063
600,2.200326343,1.306878379
700,0.934229249,2.424070817
800,0.574468019,1.679783577
900,0.205053959,1.892005565
1000,0.104793262,5.784465062
600,2.808,0.634
700,3.465973007,1.829678756
800,1.363361152,1.590851991
900,0.234229792,3.226942152
1000,0,5.536178703
500,1.095189733,2.001994945
600,1.387535772,1.395255662
700,2.251667499,1.811669449
800,2.490948812,2.523455721
900,0,3.788226123
1000,0.029725349,2.841534504
500,1.770401659,1.548415711
600,1.159376163,1.767575795
700,2.302239654,1.164886299
800,0,3.621069157
900,0,2.192940869
1000,0.05410489,3.992629152
600,0.133,2.149
700,0.126666693,3.304420321
800,0.152118978,3.190823249
900,0.308235068,4.309120468
1000,0,4.283772225
500,0.884719399,3.088575813
600,0.272518381,1.908627121
700,0.160314926,2.300264305
800,0,2.797670021
900,0.02631368,3.742574012
